VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EAXJ,King,Kirkland,WA,98033.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,45.0,4986026,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502.0
50EA1TEA1S,Clark,Camas,WA,98607.0,2025,LUCID,AIR,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,282930693,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040608.0
3FMTK3SU2R,Snohomish,Arlington,WA,98223.0,2024,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,39.0,273745622,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053507.0
5YJ3E1EA8P,Spokane,Spokane,WA,99223.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,6.0,256168160,POINT (-117.36043 47.63396),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063004900.0
1N4BZ1DV3M,King,Seattle,WA,98115.0,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,264844835,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100.0
2C4RC1S76R,Snohomish,Everett,WA,98204.0,2024,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,38.0,272556546,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041906.0
1V2JNPE89P,Snohomish,Everett,WA,98208.0,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,281575206,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041605.0
7JDE23VL8S,Pierce,Roy,WA,98580.0,2025,VOLVO,EX90,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,2.0,284757861,POINT (-122.54332 47.00328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073001.0
W1NKM5GB5S,King,Bellevue,WA,98006.0,2025,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,54.0,41.0,285805789,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025001.0
1FADP5CU7D,Lewis,Chehalis,WA,98532.0,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,20.0,169609030,POINT (-122.96462 46.6621),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53041971400.0
KNDC5DLE6R,Snohomish,Bothell,WA,98021.0,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,265607492,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051916.0
5YJSA1E41M,Clark,Vancouver,WA,98685.0,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,276671153,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040907.0
1N4AZ1CP6L,King,Seattle,WA,98115.0,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149.0,46.0,179099504,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002400.0
1G1FX6S06P,King,Seattle,WA,98199.0,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,36.0,271759302,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005801.0
JN8BF0BEXS,King,Redmond,WA,98053.0,2025,NISSAN,ARIYA MPV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,282405203,POINT (-122.03287 47.68555),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0
5YJYGDEE6M,Pierce,Bonney Lake,WA,98391.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,31.0,284445913,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070312.0
5YJ3E1EA9S,Snohomish,Lynnwood,WA,98037.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,274990635,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802.0
5YJSA1E2XL,King,Seattle,WA,98121.0,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330.0,36.0,100777827,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003.0
7SAXCAE55N,King,Bellevue,WA,98004.0,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,267166392,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
5YJ3E1EBXJ,King,Renton,WA,98058.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,11.0,274771556,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025702.0
WA1LAAGE9K,Pierce,Gig Harbor,WA,98335.0,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204.0,26.0,157456554,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072507.0
7SAYGDED2T,Whatcom,Bellingham,WA,98229.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,40.0,280440513,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000809.0
WVWKR7AU1K,Snohomish,Edmonds,WA,98026.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,32.0,338429752,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050800.0
1FMCU0LZ4N,Spokane,Spokane,WA,99224.0,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,6.0,220345898,POINT (-117.46996 47.59431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013503.0
3FA6P0PU5D,Snohomish,Lake Stevens,WA,98258.0,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,44.0,134487881,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052606.0
WA1M2BFZ4P,King,Seattle,WA,98115.0,2023,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,241551810,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004202.0
5YJSA1E28J,King,Seattle,WA,98122.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249.0,43.0,278008223,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008401.0
1FT6W5L75R,King,Seattle,WA,98115.0,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,274267486,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003900.0
WVWPR7AU9K,Kitsap,Bremerton,WA,98310.0,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125.0,23.0,223921148,POINT (-122.61273 47.57428),PUGET SOUND ENERGY INC,53035080101.0
5YJXCDE25J,King,Renton,WA,98056.0,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238.0,41.0,475744951,POINT (-122.2044 47.52136),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025304.0
3GPKHXRJ1R,Clark,Vancouver,WA,98682.0,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,272058293,POINT (-122.55149 45.69345),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040604.0
7SAXCBE68P,King,Bellevue,WA,98006.0,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,41.0,280813753,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800.0
7SAYGDED8T,Clallam,Sequim,WA,98382.0,2026,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,24.0,282241886,POINT (-123.10367 48.07965),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001901.0
WAUTPBFFXH,King,Kent,WA,98031.0,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16.0,33.0,127102174,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029207.0
7SAYGDEE4R,Snohomish,Mill Creek,WA,98012.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,273540669,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052004.0
1FADP5CU7G,Clark,Vancouver,WA,98686.0,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19.0,49.0,165648388,POINT (-122.62731 45.71668),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040803.0
1GYKPRRK9R,King,Issaquah,WA,98027.0,2024,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,5.0,271820097,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104.0
5YJSA1E24G,Pierce,Tacoma,WA,98445.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210.0,29.0,317499472,POINT (-122.40872 47.16568),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,53053071506.0
1G1RC6E47F,Pierce,Tacoma,WA,98445.0,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,29.0,242199338,POINT (-122.40872 47.16568),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,53053071505.0
WA15AAGE1R,Snohomish,Bothell,WA,98021.0,2024,AUDI,Q8,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,1.0,260013589,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051913.0
7SAYGDEE9R,Grays Harbor,Hoquiam,WA,98550.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,24.0,266899853,POINT (-123.88689 46.97982),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027001500.0
5YJXCAE22M,King,Kirkland,WA,98033.0,2021,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,135111504,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501.0
KM8KNDAF3P,Spokane,Spokane,WA,99217.0,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,4.0,251377913,POINT (-117.35298 47.70433),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063011400.0
1G1RD6E49D,King,Woodinville,WA,98072.0,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38.0,45.0,206438627,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326.0
1G1RB6S57H,Snohomish,Bothell,WA,98021.0,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53.0,1.0,227053487,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926.0
5YJ3E1EB8M,Kittitas,Ellensburg,WA,98926.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,13.0,148444922,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975202.0
5YJ3E1EA9M,Pierce,Lakebay,WA,98349.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,26.0,167175046,POINT (-122.75746 47.25124),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072602.0
1N4AZ0CPXD,Kitsap,Poulsbo,WA,98370.0,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75.0,23.0,163336540,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100.0
YV4EH3HL3R,King,Seattle,WA,98102.0,2024,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,43.0,262361025,POINT (-122.32427 47.63433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600.0
5UXKT0C55J,King,Newcastle,WA,98056.0,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13.0,41.0,276343203,POINT (-122.2044 47.52136),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024703.0
1GYKPMRL4R,King,Seattle,WA,98199.0,2024,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,36.0,267548907,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005700.0
5YJ3E1EC1L,King,Sammamish,WA,98074.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308.0,45.0,260534011,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317.0
5YJ3E1EB9J,Pierce,Tacoma,WA,98407.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,27.0,475718995,POINT (-122.51288 47.2987),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053060400.0
7SAXCBE56R,Snohomish,Snohomish,WA,98296.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,271070019,POINT (-122.1389 47.87115),PUGET SOUND ENERGY INC,53061052121.0
5YJYGDEE6M,Chelan,Leavenworth,WA,98826.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,12.0,166354541,POINT (-120.65754 47.5982),PUD NO 1 OF CHELAN COUNTY,53007960201.0
1C4RJXN61R,King,Kirkland,WA,98034.0,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21.0,45.0,274419288,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903.0
5YJ3E1EB0N,King,Seattle,WA,98115.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,187514043,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004202.0
3GPKHXRJ0R,Benton,Richland,WA,99352.0,2024,HONDA,PROLOGUE,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,8.0,271074002,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010818.0
WVG6YVEB6S,King,Seattle,WA,98155.0,2025,VOLKSWAGEN,ID. BUZZ,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,278052435,POINT (-122.27794 47.75462),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021400.0
5XYC4DJC3S,Clark,La Center,WA,98629.0,2025,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,20.0,282148415,POINT (-122.67248 45.86156),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040202.0
5YJ3E1EC1N,Thurston,Olympia,WA,98501.0,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,35.0,208890433,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067011722.0
5YJ3E1EA8K,Clark,Vancouver,WA,98685.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220.0,18.0,236425073,POINT (-122.70303 45.70954),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040910.0
1FTVW1ELXN,King,Tukwila,WA,98168.0,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,11.0,225845917,POINT (-122.3317 47.50314),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027200.0
KNDCC3LG6N,Pierce,Dupont,WA,98327.0,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,28.0,187119040,POINT (-122.62954 47.09583),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072802.0
KNDPYDAH3P,King,Woodinville,WA,98072.0,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34.0,45.0,257966803,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307.0
WB533CF04P,King,Redmond,WA,98052.0,2023,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,219225310,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022606.0
5YJ3E1EA5M,King,Seattle,WA,98104.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,182401145,POINT (-122.32945 47.60357),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500.0
JTMABACA9S,King,Issaquah,WA,98027.0,2025,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,5.0,282265686,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104.0
5YJ3E1EB1M,King,Seattle,WA,98118.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,37.0,140354812,POINT (-122.2668 47.55115),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011001.0
3FMTK1SS6M,King,Federal Way,WA,98003.0,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,30.0,267217723,POINT (-122.3303 47.30151),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030008.0
7PDSGBBA6S,Pierce,Bonney Lake,WA,98391.0,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,31.0,271587389,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070310.0
5YJ3E1EC5M,King,Lake Forest Park,WA,98155.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,46.0,176607098,POINT (-122.27794 47.75462),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021500.0
1C4RJYB62N,Snohomish,Edmonds,WA,98026.0,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,21.0,237861627,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050102.0
7SAXCBE63R,Spokane,Spokane,WA,99224.0,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,6.0,267814081,POINT (-117.46996 47.59431),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013503.0
7SAYGDEEXN,King,Kent,WA,98042.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,47.0,207238090,POINT (-122.1179 47.35896),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031708.0
KM8KNDA82S,Snohomish,Lynnwood,WA,98037.0,2025,HYUNDAI,IONIQ 5 N,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,285163833,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051602.0
JTDKN3DP9C,Pierce,Puyallup,WA,98372.0,2012,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6.0,31.0,222594522,POINT (-122.29109 47.23693),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073501.0
7SAYGDEE3R,King,Sammamish,WA,98074.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,268261584,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317.0
JTDKAMFP3M,Yakima,Yakima,WA,98908.0,2021,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25.0,14.0,276443569,POINT (-120.60199 46.59817),PACIFICORP,53077001000.0
YV4ED3GMXP,Island,Clinton,WA,98236.0,2023,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,10.0,266040806,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972100.0
7G2CEHED8R,Skagit,Mount Vernon,WA,98274.0,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,10.0,274679380,POINT (-122.32355 48.41566),PUGET SOUND ENERGY INC,53057952700.0
7PDSGABA8R,Whatcom,Bellingham,WA,98229.0,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,40.0,264846998,POINT (-122.45486 48.7449),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000902.0
7PDSGABA7P,Clark,Camas,WA,98607.0,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,255416983,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325.0
5YJ3E1EBXS,Clark,Vancouver,WA,98683.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,18.0,277747081,POINT (-122.49212 45.60365),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041325.0
5YJ3E1ET2R,Spokane,Spokane,WA,99208.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,6.0,278750755,POINT (-117.45005 47.7333),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010701.0
5YJSA1H49F,Whatcom,Bellingham,WA,98226.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,40.0,125807356,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000803.0
3GNKDBRJ8R,King,Redmond,WA,98052.0,2024,CHEVROLET,BLAZER,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,48.0,280089855,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032325.0
5YJ3E1EC9L,King,Seattle,WA,98126.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308.0,34.0,103165044,POINT (-122.36893 47.54701),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500.0
JTDACACU5R,Clallam,Port Angeles,WA,98362.0,2024,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39.0,24.0,271039779,POINT (-123.43112 48.11892),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001600.0
5YJ3E1EA6P,King,Shoreline,WA,98133.0,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,32.0,253353684,POINT (-122.34477 47.75744),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020302.0
5YJ3E1EA0R,Spokane,Otis Orchards,WA,99027.0,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,4.0,274036780,POINT (-117.11195 47.70763),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010101.0
7SAYGAEE9S,Snohomish,Everett,WA,98208.0,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,44.0,275803356,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041605.0
WVGTMPE26N,Pierce,Puyallup,WA,98371.0,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,25.0,213472948,POINT (-122.29521 47.19045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053073408.0
7PDSGABA9R,King,Sammamish,WA,98074.0,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,45.0,267382650,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215.0
